
==============================================================================
SUMMARY — every coordinate tested, its source, and what ablation says
==============================================================================

### huggyllama/llama-7b
    revision: 4782ad278652c7c71b72204d462d6d01eaaf7549   baseline ppl: 5.39
    coordinate           source             weight   ppl x      KL  verdict
    L36[2202,12083]      found              0.6304    x1.0   0.000  no effect
    L36[2202,982]        found              1.1484    x1.0   0.000  no effect
    L36[2202,1617]       found              0.2253    x1.0   0.000  no effect
    L36[2202,7455]       found              0.4668    x1.0   0.000  no effect
    L36[3389,1617]       found             -0.0835    x1.0   0.000  no effect
    L36[3389,12148]      found             -0.0920    x1.0   0.000  no effect
    L36[3389,9181]       found             -0.0953    x1.0   0.000  no effect
    L36[3389,5703]       found              0.0619    x1.0   0.000  no effect
    L36[4936,1617]       found              0.1050    x1.0   0.000  no effect
    L36[4936,11218]      found              0.1439    x1.0   0.000  no effect
    L36[4936,5703]       found             -0.0977    x1.0   0.000  no effect
    L36[4936,12148]      found              0.0814    x1.0   0.000  no effect
    L38[2231,7834]       found             -1.2930    x1.0   0.000  no effect
    L38[2231,2406]       found              1.2344    x1.0   0.000  no effect
    L38[2231,10857]      found             -1.0928    x1.0   0.000  no effect
    L38[2231,12974]      found              0.2910    x1.0   0.000  no effect
    L38[2202,7834]       found              0.7329    x1.0   0.000  no effect
    L38[2202,12974]      found             -0.3955    x1.0   0.000  no effect
    L38[2202,2406]       found             -0.5327    x1.0   0.000  no effect
    L38[2202,10857]      found              0.3730    x1.0   0.000  no effect
    L38[1845,7834]       found             -0.1006    x1.0   0.000  no effect
    L38[1845,946]        found             -0.2224    x1.0   0.000  no effect
    L38[1845,12974]      found              0.0644    x1.0   0.000  no effect
    L38[1845,4522]       found              0.1096    x1.0   0.000  no effect
    L38[3991,7834]       found             -0.0564    x1.0   0.000  no effect
    L38[3991,946]        found             -0.0719    x1.0   0.000  no effect
    L38[3991,7969]       found              0.1554    x1.0   0.000  no effect
    L38[3991,4522]       found              0.0485    x1.0   0.000  no effect
    L34[2231,7458]       found              1.2832    x1.0   0.000  no effect
    L34[2231,6698]       found              1.1562    x1.0   0.000  no effect
    L34[2231,9705]       found              1.1045    x1.0   0.000  no effect
    L34[2231,7632]       found              1.1279    x1.0   0.000  no effect
    L34[2202,7458]       found              0.2725    x1.0   0.000  no effect
    L34[2202,12013]      found             -0.4429    x1.0   0.000  no effect
    L34[2202,3714]       found             -0.2074    x1.0   0.000  no effect
    L34[2202,6876]       found              0.3127    x1.0   0.000  no effect
    L34[4936,7458]       found              0.2554    x1.0   0.000  no effect
    L34[4936,6698]       found              0.1499    x1.0   0.000  no effect
    L34[4936,7632]       found              0.1708    x1.0   0.000  no effect
    L34[4936,257]        found             -0.0948    x1.0   0.000  no effect
    L34[112,7458]        found              0.0217    x1.0   0.000  no effect
    L34[112,6698]        found              0.0642    x1.0   0.000  no effect
    L34[112,7632]        found              0.0481    x1.0   0.000  no effect
    L34[112,4617]        found              0.0657    x1.0   0.000  no effect
    L39[2202,8399]       found              1.1650    x1.0   0.000  no effect
    L39[2202,2305]       found             -1.2500    x1.0   0.000  no effect
